p_id,classid,p_name,p_sakusha,p_gensaku,p_irasuto,p_genan,p_price,p_open,p_content,p_date
129,201002,魔女之旅(15),白石定規,,あずーる,,132,,,
130,201002,魔女之旅(16),白石定規,,あずーる,,132,,,
131,201002,魔女之旅(17),白石定規,,あずーる,,132,,,
132,201002,魔女之旅(18),白石定規,,あずーる,,132,,,
133,201002,魔女之旅(19),白石定規,,あずーる,,132,,,
134,201002,魔女之旅(20),白石定規,,あずーる,,132,,,
135,201002,魔女之旅(21),白石定規,,あずーる,,132,,,
136,101005,【我推的孩子】(01),赤坂アカ、 横槍メンゴ,,,,83,,,
137,101005,【我推的孩子】(02),赤坂アカ、 横槍メンゴ,,,,83,,,
138,101005,【我推的孩子】(03),赤坂アカ、 横槍メンゴ,,,,83,,,
139,101005,【我推的孩子】(04),赤坂アカ、 横槍メンゴ,,,,83,,,
140,101005,【我推的孩子】(05),赤坂アカ、 横槍メンゴ,,,,83,,,
141,101005,【我推的孩子】(06),赤坂アカ、 横槍メンゴ,,,,83,,,
142,101005,【我推的孩子】(07),赤坂アカ、 横槍メンゴ,,,,83,,,
143,101005,【我推的孩子】(08),赤坂アカ、 横槍メンゴ,,,,83,,,
144,101005,【我推的孩子】(09),赤坂アカ、 横槍メンゴ,,,,83,,,
145,101005,【我推的孩子】(10),赤坂アカ、 横槍メンゴ,,,,83,,,
146,101005,【我推的孩子】(11),赤坂アカ、 横槍メンゴ,,,,83,,,
147,101005,【我推的孩子】(12),赤坂アカ、 横槍メンゴ,,,,83,,,
148,101005,【我推的孩子】(13),赤坂アカ、 横槍メンゴ,,,,83,,,
214970,101006,黑暗集會(14),近藤憲一,,,,79,1,,
194531,101006,黑暗集會(13),近藤憲一,,,,67,1,,
181925,101006,黑暗集會(12),近藤憲一,,,,67,1,,
181152,101006,黑暗集會(11),近藤憲一,,,,67,1,,
170608,101006,黑暗集會(10),近藤憲一,,,,67,1,,
165575,101006,黑暗集會(09),近藤憲一,,,,67,1,,
159567,101006,黑暗集會(08),近藤憲一,,,,67,1,,
157236,101006,黑暗集會(07),近藤憲一,,,,67,1,,
151491,101006,黑暗集會(06),近藤憲一,,,,67,1,,
151490,101006,黑暗集會(05),近藤憲一,,,,67,1,,
144060,101006,黑暗集會(04),近藤憲一,,,,67,1,,
139646,101006,黑暗集會(03),近藤憲一,,,,67,1,,
131714,101006,黑暗集會(02),近藤憲一,,,,67,1,,
118430,101006,黑暗集會(01),近藤憲一,,,,67,1,,
214753,202001,小書痴的下剋上：為了成為圖書管理員不擇手段！【第五部】 女神的化身X,香月美夜,,椎名優,,225,1,,
186465,202001,小書痴的下剋上：為了成為圖書管理員不擇手段！【第五部】 女神的化身IX【無特典】,香月美夜,,椎名優,,191,1,,
180118,202001,小書痴的下剋上：為了成為圖書管理員不擇手段！【第五部】女神的化身VIII【無特典】,香月美夜,,椎名優,,191,1,,
162072,202001,小書痴的下剋上：為了成為圖書管理員不擇手段！【第五部】女神的化身VII【無特典】,香月美夜,,椎名優,,191,1,,
156488,202001,小書痴的下剋上：為了成為圖書管理員不擇手段！【第五部】女神的化身VI【無特典】,香月美夜,,椎名優,,191,1,,
150432,202001,小書痴的下剋上：為了成為圖書管理員不擇手段！【第五部】女神的化身V【無特典】,香月美夜,,椎名優,,191,1,,
145023,202001,小書痴的下剋上：為了成為圖書管理員不擇手段！【第五部】女神的化身IV【無特典】,香月美夜,,椎名優,,191,1,,
141400,202001,小書痴的下剋上：為了成為圖書管理員不擇手段！【第五部】女神的化身III【無特典】,香月美夜,,椎名優,,191,1,,
134525,202001,小書痴的下剋上：為了成為圖書管理員不擇手段！【第五部】女神的化身II【無特典】,香月美夜,,椎名優,,191,1,,
130788,202001,小書痴的下剋上：為了成為圖書管理員不擇手段！【第五部】女神的化身I【無特典】,香月美夜,,椎名優,,191,1,,
121264,202001,小書痴的下剋上：為了成為圖書管理員不擇手段！【第四部】貴族院的自稱圖書委員IX【無特典】,香月美夜,,椎名優,,179,1,,
117287,202001,小書痴的下剋上：為了成為圖書管理員不擇手段！【第四部】貴族院的自稱圖書委員VIII【無特典】,香月美夜,,椎名優,,179,1,,
111604,202001,小書痴的下剋上：為了成為圖書管理員不擇手段！【第四部】貴族院的自稱圖書委員VII【無特典】,香月美夜,,椎名優,,179,1,,
105682,202001,小書痴的下剋上：為了成為圖書管理員不擇手段！【第四部】 貴族院的自稱圖書委員VI【無特典】,香月美夜,,椎名優,,179,1,,
98664,202001,小書痴的下剋上：為了成為圖書管理員不擇手段！【第四部】貴族院的自稱圖書委員V【無特典】,香月美夜,,椎名優,,179,1,,
94449,202001,小書痴的下剋上：為了成為圖書管理員不擇手段！【外傳】貴族院一年級生【無特典】,香月美夜,,椎名優,,167,1,,
89755,202001,小書痴的下剋上：為了成為圖書管理員不擇手段！【第四部】貴族院的自稱圖書委員IV【無特典】,香月美夜,,椎名優,,179,1,,
84276,202001,小書痴的下剋上：為了成為圖書管理員不擇手段！【第四部】貴族院的自稱圖書委員III【無特典】,香月美夜,,椎名優,,179,1,,
79550,202001,小書痴的下剋上：為了成為圖書管理員不擇手段！【第四部】貴族院的自稱圖書委員II【無特典】,香月美夜,,椎名優,,179,1,,
76118,202001,小書痴的下剋上：為了成為圖書管理員不擇手段！【第四部】貴族院的自稱圖書委員I【無特典】,香月美夜,,椎名優,,191,1,,
67005,202001,小書痴的下剋上：為了成為圖書管理員不擇手段！【第三部】領主的養女(V)【無特典】,香月美夜,,椎名優,,179,1,,
61073,202001,小書痴的下剋上：為了成為圖書管理員不擇手段！第三部 領主的養女(IV)【無特典】,香月美夜,,椎名優,,179,1,,
56732,202001,小書痴的下剋上：為了成為圖書管理員不擇手段！第三部 領主的養女(III)【無特典】,香月美夜,,椎名優,,179,1,,
53593,202001,小書痴的下剋上：為了成為圖書管理員不擇手段！第三部 領主的養女(II)【無特典】,香月美夜,,椎名優,,179,1,,
50711,202001,小書痴的下剋上：為了成為圖書管理員不擇手段！第三部 領主的養女(I)【無特典】,香月美夜,,椎名優,,179,1,,
46196,202001,小書痴的下剋上：為了成為圖書管理員不擇手段！第二部 神殿的見習巫女(IV)【無特典】,香月美夜,,椎名優,,179,1,,
44180,202001,小書痴的下剋上：為了成為圖書管理員不擇手段！第二部 神殿的見習巫女(I)【無特典】,香月美夜,,椎名優,,179,1,,
44179,202001,小書痴的下剋上：為了成為圖書管理員不擇手段！第二部 神殿的見習巫女(II)【無特典】,香月美夜,,椎名優,,179,1,,
44178,202001,小書痴的下剋上：為了成為圖書管理員不擇手段！第二部 神殿的見習巫女(III)【無特典】,香月美夜,,椎名優,,179,1,,
44072,202001,小書痴的下剋上：為了成為圖書管理員不擇手段！第一部 士兵的女兒(III)【無特典】,香月美夜,,椎名優,,191,1,,
44071,202001,小書痴的下剋上：為了成為圖書管理員不擇手段！第一部 士兵的女兒(II)【無特典】,香月美夜,,椎名優,,179,1,,
44070,202001,小書痴的下剋上：為了成為圖書管理員不擇手段！第一部 士兵的女兒(I)【無特典】,香月美夜,,椎名優,,179,1,,
